"time","snowdepth"
"02.10.2017",0
"03.10.2017",0
"04.10.2017",0
"05.10.2017",0
"06.10.2017",0
"07.10.2017",0
"08.10.2017",0
"09.10.2017",0
"10.10.2017",0
"11.10.2017",0
"12.10.2017",0
"13.10.2017",0
"14.10.2017",0
"15.10.2017",0
"16.10.2017",0
"17.10.2017",0
"18.10.2017",0
"19.10.2017",0
"20.10.2017",0
"21.10.2017",0
"22.10.2017",0
"23.10.2017",0
"24.10.2017",0
"25.10.2017",0
"26.10.2017",0
"27.10.2017",0
"28.10.2017",0
"29.10.2017",0
"30.10.2017",0
"31.10.2017",0
"01.11.2017",0
"02.11.2017",0
"03.11.2017",0
"04.11.2017",1
"05.11.2017",0
"06.11.2017",0
"07.11.2017",0
"08.11.2017",0
"09.11.2017",0
"10.11.2017",0
"11.11.2017",0
"12.11.2017",0
"13.11.2017",0
"14.11.2017",0
"15.11.2017",0
"16.11.2017",0
"17.11.2017",0
"18.11.2017",0
"19.11.2017",0
"20.11.2017",0
"21.11.2017",0
"22.11.2017",0
"23.11.2017",0
"24.11.2017",0
"25.11.2017",0
"26.11.2017",0
"27.11.2017",0
"28.11.2017",1
"29.11.2017",1
"30.11.2017",1
"01.12.2017",5
"02.12.2017",5
"03.12.2017",8
"04.12.2017",7
"05.12.2017",6
"06.12.2017",6
"07.12.2017",6
"08.12.2017",6
"09.12.2017",6
"10.12.2017",6
"11.12.2017",5
"12.12.2017",5
"13.12.2017",5
"14.12.2017",6
"15.12.2017",6
"16.12.2017",6
